year,country,region,rank,score,social_support,health,freedom,trust,generosity,social_support_std,health_std,freedom_std,trust_std,generosity_std,gdp_std,total_area
2015,Zimbabwe,Africa,115,4.61,1.03276,0.33475,0.25861,0.08079,0.18987,0.153639635,-1.199820568,-1.13174294,-0.523442898,-0.375548234,-1.431248365,390757
2015,Liberia,Africa,116,4.571,0.78968,0.34201,0.28531,0.06232,0.24362,-0.741663554,-1.170343677,-0.953997887,-0.677805136,0.050081752,-1.928457406,111369
2015,India,Asia,117,4.565,0.38174,0.51529,0.39786,0.08492,0.26475,-2.244172946,-0.46679607,-0.204739246,-0.488926598,0.217403828,-0.500561631,3287590
2015,Sudan,Africa,118,4.55,1.01404,0.36878,0.10081,0.1466,0.19062,0.08469083,-1.061652718,-2.182236175,0.026561375,-0.369609211,-0.808940732,1886068
2015,Haiti,South America,119,4.518,0.74302,0.38847,0.24425,0.17175,0.46187,-0.913519925,-0.981707817,-1.227339156,0.236751429,1.77833746,-1.441874404,27750
2015,Congo (Kinshasa),Africa,120,4.517,1.0012,0.09806,0.22605,0.07625,0.24834,0.037399021,-2.160824048,-1.348498705,-0.561385754,0.087458003,-2.105641008,2344858
2015,Nepal,Asia,121,4.514,0.86449,0.56874,0.38282,0.05907,0.32296,-0.466126152,-0.249779568,-0.304862302,-0.704966873,0.678351204,-1.209843518,147181
2015,Ethiopia,Africa,122,4.512,0.60406,0.44055,0.4345,0.15048,0.24325,-1.425332214,-0.770253758,0.039177561,0.05898831,0.047151834,-1.631002968,1104300
2015,Sierra Leone,Africa,123,4.507,0.95571,0,0.4084,0.08786,0.21488,-0.130148051,-2.558965082,-0.134573221,-0.464355674,-0.177501612,-1.283827626,71740
2015,Mauritania,Africa,124,4.436,0.86908,0.35874,0.24232,0.17461,0.219,-0.449220435,-1.102416903,-1.240187394,0.260653757,-0.144876578,-0.975672493,1030700
2015,Kenya,Africa,125,4.419,0.99876,0.41435,0.42215,0.05839,0.37542,0.028412104,-0.876630416,-0.043037847,-0.710649944,1.09376607,-1.198047868,580367
2015,Djibouti,Africa,126,4.369,0.59207,0.36291,0.46074,0.28105,0.18093,-1.469493335,-1.085485961,0.21386034,1.150221524,-0.446341389,-1.010064029,23200
2015,Armenia,Europe,127,4.35,0.77711,0.7299,0.19847,0.039,0.07855,-0.787960909,0.404558684,-1.532102022,-0.872701043,-1.257057629,-0.193924504,29743
2015,Botswana,Africa,128,4.332,1.10464,0.04776,0.49495,0.12474,0.10461,0.41838537,-2.365050991,0.44160035,-0.156132644,-1.050696375,0.366841689,582000
2015,Myanmar,Asia,129,4.307,0.70905,0.48246,0.44017,0.19034,0.79588,-1.038636962,-0.600091707,0.076923421,0.392116562,4.42326158,-1.431049282,676578
2015,Georgia,Europe,130,4.297,0.38562,0.72926,0.40577,0.38331,0.05547,-2.229882274,0.401960171,-0.152081441,2.00485512,-1.439821165,-0.259397827,69700
2015,Malawi,Africa,131,4.292,0.41134,0.22562,0.43054,0.06977,0.33128,-2.13515133,-1.64290777,0.012815374,-0.615542078,0.744234766,-2.065724927,118484
2015,Sri Lanka,Asia,132,4.271,1.01905,0.70806,0.53726,0.09179,0.40828,0.103143475,0.315884402,0.723263016,-0.431510866,1.353974466,-0.027118088,65610
2015,Cameroon,Africa,133,4.252,0.88767,0.23402,0.49309,0.05786,0.20618,-0.380750441,-1.608802276,0.42921811,-0.715079396,-0.246394279,-1.054235503,475442
2015,Bulgaria,Europe,134,4.218,1.10614,0.76649,0.30587,0.00872,0.11921,0.423910114,0.55312059,-0.817127539,-1.125764853,-0.935083393,0.413153301,110879
2015,Egypt,Africa,135,4.194,0.747,0.61712,0.17288,0.06324,0.11291,-0.898860938,-0.053348166,-1.702457674,-0.670116275,-0.984971186,0.088748043,1002450
2015,Yemen,Africa,136,4.077,0.68093,0.40064,0.35571,0.07854,0.09131,-1.142207497,-0.932295454,-0.485336773,-0.542247177,-1.15601505,-0.745682205,527968
2015,Angola,Africa,137,4.033,0.8604,0.16683,0.10384,0.07122,0.12344,-0.481190288,-1.881605622,-2.162065107,-0.603423765,-0.901587302,-0.219879911,1246700
2015,Mali,Africa,138,3.995,1.03526,0.20583,0.38857,0.12352,0.18798,0.162847542,-1.723258688,-0.266583873,-0.166328742,-0.390514572,-1.456780721,1240192
2015,Congo (Brazzaville),Africa,139,3.989,0.6629,0.31051,0.41466,0.11686,0.12388,-1.208614921,-1.298239277,-0.092899662,-0.221989409,-0.898103076,-0.416772701,342000
2015,Comoros,Africa,140,3.956,0.79273,0.36315,0.22917,0.199,0.17441,-0.730429908,-1.084511519,-1.327728496,0.464492143,-0.497971296,-1.510732132,1862
2015,Uganda,Africa,141,3.931,1.13299,0.33861,0.45727,0.07267,0.29066,0.522803033,-1.184148282,0.19076014,-0.591305452,0.422577278,-1.580510618,241550
2015,Senegal,Africa,142,3.904,0.97619,0.4354,0.36772,0.10713,0.20843,-0.054716879,-0.791163674,-0.405384785,-0.303307469,-0.22857721,-1.197375964,196722
2015,Gabon,Africa,143,3.896,0.90528,0.43372,0.31914,0.11091,0.06822,-0.315889946,-0.797984772,-0.728787582,-0.27171628,-1.338857773,0.532802004,267668
2015,Niger,Africa,144,3.845,0.77265,0.29707,0.47692,0.15639,0.19387,-0.804387815,-1.352808067,0.321572511,0.108380883,-0.343873444,-1.932936766,1267000
2015,Cambodia,Asia,145,3.819,0.62736,0.61114,0.66246,0.07247,0.40359,-1.339514523,-0.07762803,1.556734202,-0.592976943,1.316835775,-0.959969845,181035
2015,Tanzania,Africa,146,3.781,1.00268,0.38215,0.32878,0.05747,0.34377,0.042850101,-1.007368141,-0.664612963,-0.718338804,0.843139297,-1.395911185,945087
2015,Madagascar,Africa,147,3.681,0.66801,0.46721,0.19184,0.08124,0.21333,-1.18979396,-0.662009418,-1.576238715,-0.519682042,-0.189775593,-1.587428742,587041
2015,Central African Republic,Africa,148,3.678,0,0.06699,0.48879,0.08289,0.23835,-3.650183475,-2.286973772,0.400592503,-0.505892237,0.008350216,-1.910291109,622984
2015,Chad,Africa,149,3.667,0.76062,0.1501,0.23501,0.05269,0.18386,-0.848696262,-1.949532396,-1.288850927,-0.758287451,-0.423139605,-1.254736666,1284000
2015,Guinea,Africa,150,3.656,0.46475,0.24009,0.37725,0.12139,0.28657,-1.93843361,-1.584156997,-0.341942449,-0.184130126,0.390189805,-1.672213086,245857
2015,Ivory Coast,Africa,151,3.655,0.77115,0.15185,0.46866,0.17922,0.20165,-0.809912559,-1.942427085,0.266584715,0.299181636,-0.282265978,-0.947626718,322463
2015,Burkina Faso,Africa,152,3.587,0.85188,0.27125,0.39493,0.12832,0.21747,-0.512570834,-1.457641857,-0.224244602,-0.126212947,-0.156992186,-1.463300679,272967
2015,Afghanistan,Asia,153,3.575,0.30285,0.30335,0.23414,0.09719,0.3651,-2.534737651,-1.32731015,-1.29464262,-0.386380596,1.012045112,-1.309758147,652230
2015,Rwanda,Africa,154,3.465,0.7737,0.42864,0.59201,0.55191,0.22628,-0.800520494,-0.818610476,1.087740232,3.41392244,-0.087228461,-1.552987435,26338
2015,Benin,Africa,155,3.34,0.35386,0.3191,0.4845,0.0801,0.1826,-2.346859522,-1.26336235,0.372033466,-0.529209543,-0.433117164,-1.392302812,112622
2015,Syria,Africa,156,3.006,0.47489,0.72193,0.15684,0.18906,0.47179,-1.90108634,0.372199067,-1.809237848,0.381419017,1.856890938,-0.455245432,185180
